name, ra, dec, nexp, exptime, filter, horizon, moond, moonw, priority, count, period, comment
V20_NGC6383                ,   17:34:42   , -32:34:53, 3, 100, PSr, 30, 30, 6 , 7, 1,  1, VYSOS
V20_Trumpler27             ,   17:36:20   , -33:30:30, 3, 100, PSr, 30, 30, 6 , 4, 1,  1, VYSOS
V20_IC4665                 ,   17:46:48   , +05:33:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_Collinder359           ,   18:00:38   , +02:55:54, 3, 100, PSr, 30, 30, 6 , 7, 1,  7, VYSOS
V20_M20                    ,   18:02:27   , -22:58:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_M8west                 ,   18:02:56   , -24:19:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC6531                ,   18:04:12   , -22:29:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  1, VYSOS
V20_M8east                 ,   18:05:02   , -24:19:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_IC1274                 ,   18:09:48   , -23:37:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_NGC6559                ,   18:09:56   , -24:06:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  1, VYSOS
V20_L291                   ,   18:16:50   , -19:57:00, 3, 100, PSr, 30, 30, 6 , 6, 1,  7, VYSOS
V20_NGC6604                ,   18:18:14   , -11:49:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  7, VYSOS
V20_M16                    ,   18:18:50   , -13:48:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_M17                    ,   18:20:50   , -16:11:00, 3, 100, PSr, 30, 30, 6 , 5, 1, 10, VYSOS
V20_Serpens                ,   18:30:00   , +01:14:07, 3, 100, PSr, 30, 30, 6 , 4, 1,  2, VYSOS
V20_Ruprecht141            ,   18:31:18   , -12:19:00, 3, 100, PSr, 30, 30, 6 , 9, 1,  7, VYSOS
V20_W40                    ,   18:31:28   , -02:05:22, 3, 100, PSr, 30, 30, 6 , 7, 1,  5, VYSOS
V20_CrA                    ,   19:02:00   , -37:00:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC6823                ,   19:43:20   , +23:18:00, 3, 100, PSr, 30, 30, 6 , 8, 1,  1, VYSOS
V20_IRAS20050+2720         ,   20:07:07   , +27:28:53, 3, 100, PSr, 30, 30, 6 , 6, 1,  5, VYSOS
V20_NGC6871_Byurakan1_2    ,   20:08:00   , +35:30:00, 3, 100, PSr, 30, 30, 6 , 7, 1,  1, VYSOS
V20_IC4996                 ,   20:16:30   , +37:38:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  1, VYSOS
V20_BD+404124              ,   20:20:28   , +41:21:51, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_Berkeley87             ,   20:21:43   , +37:22:14, 3, 100, PSr, 30, 30, 6 , 4, 1,  5, VYSOS
V20_NGC6910                ,   20:23:08   , +40:46:30, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_NGC6913                ,   20:23:56   , +38:31:24, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_NGC6914                ,   20:24:46   , +42:23:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  1, VYSOS
V20_L889                   ,   20:26:45   , +40:06:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  8, VYSOS
V20_CygOB2                 ,   20:33:11   , +41:20:00, 3, 100, PSr, 30, 30, 6 , 7, 1, 14, VYSOS
V20_PVCep                  ,   20:45:54   , +67:57:30, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_NAP13                  , 20:50:27.9   , +44:58:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP9                   , 20:51:11.1   , +44:28:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP5                   , 20:51:54.0   , +43:59:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP1                   , 20:52:36.6   , +43:29:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP14                  , 20:53:14.8   , +44:58:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP10                  , 20:53:56.5   , +44:28:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
